State,2015,,2014,,2013,,2012,,2011,,2010,,2009,
,Rate,Rank,Rate,Rank,Rate,Rank,Rate,Rank,Rate,Rank,Rate,Rank,Rate,Rank
United States,5.3,---,6.2,---,7.4,---,8.1,---,8.9,---,9.6,---,9.3,---
Alabama,6.1,42,6.8,40,7.2,29,8,32,9.6,40,10.5,42,11,45
Alaska,6.5,46,6.9,43,6.9,26,7.1,20,7.6,19,7.9,16,7.7,19
Arizona,6.1,42,6.8,40,7.7,35,8.3,35,9.5,38,10.4,38,9.9,36
Arkansas,5.2,26,6.1,26,7.3,30,7.6,28,8.3,26,8.2,21,7.8,21
California,6.2,44,7.5,47,8.9,48,10.4,49,11.7,50,12.2,49,11.2,47
Colorado,3.9,10,5,15,6.8,25,7.9,31,8.4,29,8.7,26,7.3,15
Connecticut,5.6,32,6.6,36,7.8,38,8.3,35,8.8,31,9.1,30,7.9,23
Delaware,4.9,21,5.7,20,6.7,19,7.2,23,7.5,17,8.4,23,8.3,27
District of Columbia,6.9,51,7.8,50,8.5,45,9,41,10.2,44,9.4,31,9.3,33
Florida,5.4,29,6.3,29,7.3,30,8.5,38,10,42,11.1,46,10.4,42
Georgia,5.9,38,7.1,44,8.2,43,9.2,45,10.2,44,10.5,42,9.9,36
Hawaii,3.6,6,4.4,10,4.9,8,6,12,6.8,13,6.9,9,7.2,14
Idaho,4.1,11,4.8,14,6.2,15,7.2,23,8.3,26,9,29,8.8,30
Illinois,5.9,38,7.1,44,9.1,49,9,41,9.7,41,10.4,38,10.2,38
Indiana,4.8,20,5.9,24,7.7,35,8.3,35,9.1,34,10.4,38,10.3,39
Iowa,3.7,7,4.2,7,4.7,6,5.1,5,5.5,5,6,5,6.4,6
Kansas,4.2,13,4.6,12,5.3,11,5.7,11,6.5,9,7.1,10,6.9,12
Kentucky,5.4,29,6.5,34,8.1,42,8.2,34,9.4,37,10.2,36,10.3,39
Louisiana,6.3,45,6.4,32,6.7,19,7.1,20,7.8,20,8,17,6.8,10
Maine,4.4,16,5.6,19,6.6,17,7.5,26,7.9,23,8.1,18,8.1,25
Maryland,5.2,26,5.8,22,6.6,17,7,17,7.2,15,7.7,14,7,13
Massachusetts,5,23,5.7,20,6.7,19,6.7,15,7.3,16,8.3,22,8.1,25
Michigan,5.4,29,7.3,46,8.8,47,9.1,44,10.4,47,12.6,50,13.7,51
Minnesota,3.7,7,4.2,7,4.9,8,5.6,10,6.5,9,7.4,13,7.8,21
Mississippi,6.5,46,7.6,48,8.6,46,9,41,10,42,10.4,38,9.5,35
Missouri,5,23,6.2,28,6.7,19,7,17,8.5,30,9.6,33,9.3,33
Montana,4.1,11,4.7,13,5.4,13,6,12,6.9,14,7.3,12,6.8,10
Nebraska,3,2,3.3,2,3.8,2,4,2,4.4,2,4.6,2,4.6,2
Nevada,6.7,49,7.9,51,9.6,51,11.2,51,13,51,13.5,51,11.3,49
New Hampshire,3.4,4,4.3,9,5.1,10,5.5,9,5.4,4,5.8,4,6.2,4
New Jersey,5.6,32,6.7,38,8.2,43,9.3,47,9.3,35,9.5,32,9.1,31
New Mexico,6.6,48,6.7,38,7,27,7.1,20,7.5,17,8.1,18,7.5,17
New York,5.3,28,6.3,29,7.7,35,8.5,38,8.3,26,8.6,25,8.3,27
North Carolina,5.7,34,6.3,29,7.9,40,9.3,47,10.3,46,10.9,45,10.6,44
North Dakota,2.7,1,2.7,1,2.9,1,3.1,1,3.5,1,3.8,1,4.1,1
Ohio,4.9,21,5.8,22,7.5,33,7.4,25,8.8,31,10.3,37,10.3,39
Oklahoma,4.2,13,4.5,11,5.3,11,5.3,6,5.9,8,6.8,8,6.4,6
Oregon,5.7,34,6.8,40,7.9,40,8.8,40,9.5,38,10.6,44,11.3,49
Pennsylvania,5.1,25,5.9,24,7.4,32,7.8,29,7.9,23,8.5,24,8,24
Rhode Island,6,40,7.7,49,9.3,50,10.4,49,11,49,11.2,47,11,45
South Carolina,6,40,6.4,32,7.6,34,9.2,45,10.6,48,11.2,47,11.2,47
South Dakota,3.1,3,3.4,3,3.8,2,4.3,3,4.7,3,5,3,4.9,3
Tennessee,5.8,37,6.5,34,7.8,38,7.8,29,9,33,9.7,34,10.5,43
Texas,4.5,18,5.1,16,6.2,15,6.7,15,7.8,20,8.1,18,7.6,18
Utah,3.5,5,3.8,4,4.6,5,5.4,8,6.7,12,7.8,15,7.3,15
Vermont,3.7,7,4,5,4.4,4,5,4,5.5,5,6.1,6,6.6,8
Virginia,4.4,16,5.2,17,5.7,14,6,12,6.6,11,7.1,10,6.7,9
Washington,5.7,34,6.1,26,7,27,8.1,33,9.3,35,10,35,9.2,32
West Virginia,6.7,49,6.6,36,6.7,19,7.5,26,8.1,25,8.7,26,7.7,19
Wisconsin,4.6,19,5.4,18,6.7,19,7,17,7.8,20,8.7,26,8.6,29
Wyoming,4.2,13,4.1,6,4.7,6,5.3,6,5.8,7,6.4,7,6.3,5
